instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed
graycode6_47,60,1,8,7,3,1
graycode6_47,60,1,8,6,3,2
graycode6_47,60,1,8,7,3,3
graycode6_47,60,1,8,6,3,8
graycode6_47,60,1,8,6,3,4
graycode6_47,60,1,8,7,3,5
graycode6_47,60,1,8,7,3,6
graycode6_47,60,1,8,5,3,7
graycode6_47,60,1,8,7,3,9
graycode6_47,60,1,8,5,3,10
ex1_226,60,1,12,10,5,2
ex1_226,60,1,12,10,5,1
ex1_226,60,1,12,10,5,5
ex1_226,60,1,12,10,5,3
ex1_226,60,1,12,10,5,4
ex1_226,60,1,12,9,5,6
ex1_226,60,1,12,10,5,7
ex1_226,60,1,12,10,5,8
ex1_226,60,1,12,10,5,10
ex1_226,60,1,12,10,5,9
xor5_254,60,1,12,10,5,5
xor5_254,60,1,12,10,5,3
xor5_254,60,1,12,9,5,6
xor5_254,60,1,12,10,5,1
xor5_254,60,1,12,10,5,7
xor5_254,60,1,12,10,5,4
xor5_254,60,1,12,10,5,10
xor5_254,60,1,12,10,5,9
xor5_254,60,1,12,10,5,2
xor5_254,60,1,12,10,5,8
4gt11_84,60,1,22,14,4,3
4gt11_84,60,1,22,14,4,5
4gt11_84,60,1,22,15,4,6
4gt11_84,60,1,22,14,4,1
4gt11_84,60,1,22,13,4,9
4gt11_84,60,1,22,14,4,4
4gt11_84,60,1,22,13,4,2
4gt11_84,60,1,22,14,4,8
4gt11_84,60,1,22,14,4,10
4gt11_84,60,1,22,13,4,7
ex-1_166,60,1,22,15,3,5
ex-1_166,60,1,22,16,3,8
ex-1_166,60,1,22,16,3,10
ex-1_166,60,1,22,15,3,6
ex-1_166,60,1,22,16,3,1
ex-1_166,60,1,22,15,3,4
ex-1_166,60,1,22,15,3,9
ex-1_166,60,1,22,16,3,3
ex-1_166,60,1,22,15,3,7
ex-1_166,60,1,22,15,3,2
4mod5-v0_20,60,1,24,13,4,7
4mod5-v0_20,60,1,24,13,4,9
4mod5-v0_20,60,1,24,13,4,5
4mod5-v0_20,60,1,24,13,4,4
4mod5-v0_20,60,1,24,13,4,3
4mod5-v0_20,60,1,24,13,4,1
4mod5-v0_20,60,1,24,13,4,10
4mod5-v0_20,60,1,24,13,4,2
4mod5-v0_20,60,1,24,13,4,8
4mod5-v0_20,60,1,24,13,4,6
ham3_102,60,1,24,17,4,3
ham3_102,60,1,24,18,4,6
ham3_102,60,1,24,16,4,4
ham3_102,60,1,24,17,4,9
ham3_102,60,1,24,16,4,10
ham3_102,60,1,24,17,4,2
ham3_102,60,1,24,17,4,1
