instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed
graycode6_47,10,1,8,5,3,1
graycode6_47,10,1,8,5,3,3
graycode6_47,10,1,8,5,3,4
graycode6_47,10,1,8,5,3,5
graycode6_47,10,1,8,5,3,2
graycode6_47,10,1,8,5,3,8
graycode6_47,10,1,8,5,3,6
graycode6_47,10,1,8,5,3,7
graycode6_47,10,1,8,5,3,9
graycode6_47,10,1,8,5,3,10
ex1_226,10,1,13,7,6,1
ex1_226,10,1,13,7,6,3
ex1_226,10,1,13,7,6,2
ex1_226,10,1,13,7,6,6
ex1_226,10,1,13,7,6,8
ex1_226,10,1,13,7,6,4
ex1_226,10,1,13,7,6,10
ex1_226,10,1,13,7,6,5
ex1_226,10,1,13,7,6,7
ex1_226,10,1,13,7,6,9
xor5_254,10,1,13,7,6,1
xor5_254,10,1,13,7,6,2
xor5_254,10,1,13,7,6,4
xor5_254,10,1,13,7,6,6
xor5_254,10,1,13,7,6,8
xor5_254,10,1,13,7,6,7
xor5_254,10,1,13,7,6,3
xor5_254,10,1,13,7,6,5
xor5_254,10,1,13,7,6,9
xor5_254,10,1,13,7,6,10
4gt11_84,10,1,22,13,4,4
4gt11_84,10,1,22,13,4,3
4gt11_84,10,1,22,13,4,6
4gt11_84,10,1,22,13,4,7
4gt11_84,10,1,22,13,4,1
4gt11_84,10,1,22,13,4,2
4gt11_84,10,1,22,13,4,8
4gt11_84,10,1,22,13,4,9
4gt11_84,10,1,22,13,4,5
4gt11_84,10,1,22,13,4,10
ex-1_166,10,1,22,15,3,4
ex-1_166,10,1,22,15,3,2
ex-1_166,10,1,23,15,4,9
ex-1_166,10,1,22,15,3,1
ex-1_166,10,1,23,15,4,10
ex-1_166,10,1,23,15,4,3
ex-1_166,10,1,22,15,3,6
ex-1_166,10,1,22,15,3,8
ex-1_166,10,1,22,15,3,7
ex-1_166,10,1,22,15,3,5
4mod5-v0_20,10,1,25,14,5,2
4mod5-v0_20,10,1,25,14,5,5
4mod5-v0_20,10,1,25,14,5,6
4mod5-v0_20,10,1,25,14,5,10
4mod5-v0_20,10,1,25,14,5,9
4mod5-v0_20,10,1,25,14,5,8
4mod5-v0_20,10,1,25,14,5,1
4mod5-v0_20,10,1,25,14,5,7
4mod5-v0_20,10,1,25,14,5,3
4mod5-v0_20,10,1,25,14,5,4
ham3_102,10,1,24,16,4,1
ham3_102,10,1,24,16,4,6
ham3_102,10,1,24,16,4,10
ham3_102,10,1,24,16,4,3
ham3_102,10,1,24,16,4,7
ham3_102,10,1,24,16,4,9
ham3_102,10,1,24,16,4,5
ham3_102,10,1,24,16,4,2
ham3_102,10,1,24,16,4,8
ham3_102,10,1,24,16,4,4
4mod5-v1_22,10,1,27,16,6,4
4mod5-v1_22,10,1,27,15,6,10
4mod5-v1_22,10,1,27,15,6,6
4mod5-v1_22,10,1,27,15,6,3
4mod5-v1_22,10,1,27,15,6,5
4mod5-v1_22,10,1,27,15,6,2
4mod5-v1_22,10,1,27,15,6,9
4mod5-v1_22,10,1,27,15,6,1
4mod5-v1_22,10,1,27,15,6,8
4mod5-v1_22,10,1,27,15,6,7
mod5d1_63,10,1,28,16,6,1
mod5d1_63,10,1,28,16,6,3
mod5d1_63,10,1,28,16,6,4
mod5d1_63,10,1,28,16,6,5
mod5d1_63,10,1,29,16,7,2
mod5d1_63,10,1,28,16,6,8
mod5d1_63,10,1,28,16,6,10
mod5d1_63,10,1,29,16,7,9
mod5d1_63,10,1,29,16,7,6
mod5d1_63,10,1,29,16,7,7
4gt11_83,10,1,28,16,5,3
4gt11_83,10,1,28,16,5,4
4gt11_83,10,1,28,16,5,7
4gt11_83,10,1,28,16,5,5
4gt11_83,10,1,28,16,5,10
4gt11_83,10,1,28,16,5,8
4gt11_83,10,1,28,16,5,2
4gt11_83,10,1,28,16,5,9
4gt11_83,10,1,28,16,5,6
4gt11_83,10,1,28,16,5,1
4gt11_82,10,1,38,21,11,10
4gt11_82,10,1,37,21,10,5
4gt11_82,10,1,38,21,11,7
4gt11_82,10,1,37,21,10,1
4gt11_82,10,1,37,21,10,4
4gt11_82,10,1,38,21,11,9
4gt11_82,10,1,37,21,10,8
4gt11_82,10,1,37,21,10,6
4gt11_82,10,1,38,21,11,2
4gt11_82,10,1,38,21,11,3
rd32-v0_66,10,1,43,25,9,4
rd32-v0_66,10,1,43,25,9,5
rd32-v0_66,10,1,43,25,9,9
rd32-v0_66,10,1,43,25,9,3
rd32-v0_66,10,1,43,25,9,6
rd32-v0_66,10,1,43,25,9,7
rd32-v0_66,10,1,43,25,9,8
rd32-v0_66,10,1,43,25,9,1
rd32-v0_66,10,1,43,25,9,10
